provincia,anio,poblacion,dpa_provin
Zamora,2017,107662.0,19
Galápagos,2017,27883.0,20
Sucumbíos,2017,202373.0,21
Orellana,2017,167616.0,22
Santo Domingo,2017,485919.0,23
Santa Elena,2017,372604.0,24
Azuay,2018,808420.0,01
Bolívar,2018,209822.0,02
Cañar,2018,237689.0,03
Carchi,2018,182430.0,04
Cotopaxi,2018,461715.0,05
Chimborazo,2018,500340.0,06
El Oro,2018,718677.0,07
Esmeraldas,2018,583774.0,08
Guayas,2018,4410700.0,09
Imbabura,2018,468835.0,10
Loja,2018,497863.0,11
Los Ríos,2018,917992.0,12
Manabí,2018,1604308.0,13
Morona Santiago,2018,185624.0,14
Napo,2018,126836.0,15
Pastaza,2018,105998.0,16
Pichincha,2018,3107396.0,17
Tungurahua,2018,562196.0,18
Zamora,2018,109489.0,19
Galápagos,2018,28205.0,20
Sucumbíos,2018,204827.0,21
Orellana,2018,171519.0,22
Santo Domingo,2018,492964.0,23
Santa Elena,2018,380264.0,24
Azuay,2019,820239.0,01
Bolívar,2019,209046.0,02
Cañar,2019,237967.0,03
Carchi,2019,183616.0,04
Cotopaxi,2019,466924.0,05
Chimborazo,2019,499939.0,06
El Oro,2019,728281.0,07
Esmeraldas,2019,587721.0,08
Guayas,2019,4509756.0,09
Imbabura,2019,474152.0,10
Loja,2019,497948.0,11
Los Ríos,2019,936316.0,12
Manabí,2019,1633131.0,13
Morona Santiago,2019,189402.0,14
Napo,2019,129165.0,15
Pastaza,2019,108179.0,16
Pichincha,2019,3170064.0,17
Tungurahua,2019,566737.0,18
Zamora,2019,111300.0,19
Galápagos,2019,28530.0,20
Sucumbíos,2019,206756.0,21
Orellana,2019,175338.0,22
Santo Domingo,2019,499418.0,23
Santa Elena,2019,386955.0,24
Azuay,2020,825590.0,01
Bolívar,2020,207926.0,02
Cañar,2020,238020.0,03
Carchi,2020,183603.0,04
Cotopaxi,2020,471628.0,05
Chimborazo,2020,498371.0,06
El Oro,2020,734775.0,07
Esmeraldas,2020,590909.0,08
Guayas,2020,4568499.0,09
Imbabura,2020,478631.0,10
Loja,2020,497465.0,11
Los Ríos,2020,945760.0,12
Manabí,2020,1650334.0,13
Morona Santiago,2020,192900.0,14
Napo,2020,131206.0,15
Pastaza,2020,110462.0,16
Pichincha,2020,3204953.0,17
Tungurahua,2020,569872.0,18
Zamora,2020,112755.0,19
Galápagos,2020,28842.0,20
Sucumbíos,2020,207715.0,21
Orellana,2020,179067.0,22
Santo Domingo,2020,504662.0,23
Santa Elena,2020,392510.0,24
Azuay,2021,825773.0,01
Bolívar,2021,206608.0,02
Cañar,2021,237790.0,03
Carchi,2021,182445.0,04
Cotopaxi,2021,475870.0,05
Chimborazo,2021,495781.0,06
El Oro,2021,738399.0,07
Esmeraldas,2021,593324.0,08
Guayas,2021,4601037.0,09
Imbabura,2021,482224.0,10
Loja,2021,496526.0,11
Los Ríos,2021,948792.0,12
Manabí,2021,1659426.0,13
Morona Santiago,2021,196157.0,14
Napo,2021,132987.0,15
Pastaza,2021,112771.0,16
Pichincha,2021,3217582.0,17
Tungurahua,2021,571693.0,18
Zamora,2021,113912.0,19
Galápagos,2021,29148.0,20
Sucumbíos,2021,207728.0,21
Orellana,2021,182673.0,22
Santo Domingo,2021,509041.0,23
Santa Elena,2021,396709.0,24
Azuay,2022,826246.0,01
Bolívar,2022,205544.0,02
Cañar,2022,237584.0,03
Carchi,2022,180776.0,04
Cotopaxi,2022,480270.0,05
Chimborazo,2022,493084.0,06
El Oro,2022,741473.0,07
Esmeraldas,2022,595674.0,08
Guayas,2022,4643432.0,09
Imbabura,2022,485913.0,10
Loja,2022,496194.0,11
Los Ríos,2022,953060.0,12
Manabí,2022,1670700.0,13
Morona Santiago,2022,199453.0,14
Napo,2022,134768.0,15
Pastaza,2022,114969.0,16
Pichincha,2022,3231547.0,17
Tungurahua,2022,573786.0,18
Zamora,2022,115101.0,19
Galápagos,2022,29463.0,20
Sucumbíos,2022,207221.0,21
Orellana,2022,186166.0,22
Santo Domingo,2022,513692.0,23
Santa Elena,2022,399185.0,24
Azuay,2023,828172.0,01
Bolívar,2023,204819.0,02
Cañar,2023,237527.0,03
Carchi,2023,179142.0,04
Cotopaxi,2023,484792.0,05
Chimborazo,2023,490774.0,06
El Oro,2023,744811.0,07
Esmeraldas,2023,598430.0,08
Guayas,2023,4690613.0,09
Imbabura,2023,489961.0,10
Loja,2023,496685.0,11
Los Ríos,2023,959805.0,12
Manabí,2023,1684317.0,13
Morona Santiago,2023,202851.0,14
Napo,2023,136622.0,15
Pastaza,2023,117062.0,16
Pichincha,2023,3250537.0,17
Tungurahua,2023,576407.0,18
Zamora,2023,116363.0,19
Galápagos,2023,29808.0,20
Sucumbíos,2023,206360.0,21
Orellana,2023,189568.0,22
Santo Domingo,2023,518576.0,23
Santa Elena,2023,400829.0,24
Azuay,2024,831220.0,01
Bolívar,2024,204410.0,02
Cañar,2024,237470.0,03
Carchi,2024,177813.0,04
Cotopaxi,2024,489147.0,05
Chimborazo,2024,488857.0,06
El Oro,2024,748627.0,07
Esmeraldas,2024,601626.0,08
Guayas,2024,4739771.0,09
Imbabura,2024,494035.0,10
Loja,2024,497438.0,11
Los Ríos,2024,968660.0,12
Manabí,2024,1699434.0,13
Morona Santiago,2024,206327.0,14
Napo,2024,138541.0,15
Pastaza,2024,119032.0,16
Pichincha,2024,3272265.0,17
Tungurahua,2024,579082.0,18
Zamora,2024,117650.0,19
Galápagos,2024,30082.0,20
Sucumbíos,2024,205253.0,21
Orellana,2024,192831.0,22
Santo Domingo,2024,523524.0,23
Santa Elena,2024,403478.0,24
Azuay,2025,834958.0,01
Bolívar,2025,204351.0,02
Cañar,2025,237460.0,03
Carchi,2025,177020.0,04
Cotopaxi,2025,493382.0,05
Chimborazo,2025,487355.0,06
El Oro,2025,753036.0,07
Esmeraldas,2025,605377.0,08
Guayas,2025,4788157.0,09
Imbabura,2025,498140.0,10
Loja,2025,498457.0,11
Los Ríos,2025,978487.0,12
Manabí,2025,1715057.0,13
Morona Santiago,2025,209875.0,14
Napo,2025,140498.0,15
Pastaza,2025,120932.0,16
Pichincha,2025,3294478.0,17
